task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
PushT,3073,0.04,0.08,9101,100,8,0.4237914113405229,2.499682903289795,5.898380279541016,1.0,1.5192039012908936,17.46249008178711,15.654243469238281,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.05,0.08,9101,100,8,0.40131830289896114,2.3311803340911865,5.808806419372559,1.0,1.2153239250183105,17.122713088989258,15.073539733886719,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.06,0.08,9101,100,8,0.3270716653991855,1.93101966381073,5.903964996337891,1.0,1.0123887062072754,17.5701847076416,15.527758598327637,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.07,0.08,9101,100,8,0.27490800050609143,1.5996897220611572,5.819000244140625,1.0,0.8467221260070801,17.448469161987305,15.364755630493164,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.08,0.08,9101,100,8,0.2663277454467475,1.459782361984253,5.481150150299072,1.0,0.7010137438774109,17.464778900146484,16.346954345703125,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.0,0.08,9101,100,8,3.368840925923857,19.55472183227539,5.804584503173828,0.6530612111091614,16.96990203857422,17.87258529663086,1.3760385513305664,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.01,0.08,9101,100,8,2.4359892308956077,14.055628776550293,5.769988059997559,0.8469387292861938,8.63224983215332,17.419612884521484,7.040015697479248,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.02,0.08,9101,100,8,1.1164728551486196,6.347475528717041,5.685293197631836,0.9897959232330322,3.4670941829681396,17.124258041381836,12.573275566101074,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.03,0.08,9101,100,8,0.6350778064999901,3.8366124629974365,6.041169166564941,1.0,2.0545525550842285,17.863269805908203,14.664518356323242,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.04,0.08,9101,100,8,0.44894904308193334,2.5746750831604004,5.734893798828125,1.0,1.471009373664856,17.55613899230957,14.730710983276367,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
