task,rho,n_training_seeds,recovery_label_rate,obs_sigma_008_score_mean,cert_pass_rate_mean,cert_pass_rate_pstdev,top1_flip_rate_mean,top1_flip_rate_pstdev,gap_q10_q95_mean,gap_q10_q95_pstdev,gap_q50_q95_mean,gap_q50_q95_pstdev,max_drift_q95_mean,clean_margin_q10_mean,candidate_count_mean
Reacher,0.08,3,1.0,81.55555533333333,0.6066666642824808,0.012472205944860338,0.01333333303531011,0.004714045102543195,-24.707752148310345,2.2950921769184607,-8.935172398885092,0.9013939488406664,13.024733861287435,1.3417155742645264,65.0
Cube,0.00,3,0.0,43.111111,0.0033333332588275275,0.004714045102543195,0.9233333269755045,0.026246685545445608,-1005.3050858179728,13.91944011110951,-947.3762944539388,16.286356506229808,510.50452677408856,15.703967730204264,65.0
Cube,0.01,3,0.0,48.777777666666665,0.04999999888241291,0.014142135307629587,0.6799999872843424,0.12675435542411703,-842.9791158040365,68.82195724386844,-785.6231053670248,61.63573245142995,431.2746988932292,19.570281982421875,65.0
Cube,0.02,3,0.0,56.66666655555556,0.3699999948342641,0.3343650553047431,0.27666667103767395,0.22065559721368486,-361.3767137527466,272.6365253818398,-302.37146949768066,263.43386728786743,188.0698480606079,14.762982368469238,65.0
Cube,0.03,3,1.0,65.99999977777777,0.31333333253860474,0.041096102506589065,0.10000000273187955,0.037416576682041444,-270.38612874348956,20.376048204670948,-214.41424560546875,19.14572607853064,144.63013712565103,18.8741455078125,65.0
Cube,0.04,3,1.0,64.111111,0.5199999809265137,0.008164958022559074,0.05333333400388559,0.03299831778751372,-135.64686743418375,14.270204400882896,-82.61457061767578,19.3978986365234,75.52367655436198,15.400485674540201,65.0
Cube,0.05,3,0.6666666666666666,63.55555566666667,0.7699999809265137,0.1023067278887331,0.019999999552965164,0.008164965626776053,-40.37669086456299,23.375937832714353,9.005011558532715,11.87250515686625,26.713520526885986,13.050350189208984,65.0
Cube,0.06,3,1.0,64.88888888888889,0.8066666523615519,0.024944380029697902,0.0033333332588275275,0.004714045102543195,-38.87436389923096,13.680595827728649,16.914690653483074,8.663870972459494,28.13155746459961,17.38875102996826,65.0
Cube,0.07,3,1.0,65.22222244444444,0.8366666634877523,0.012472200634866716,0.0033333332588275275,0.004714045102543195,-30.910545984903973,0.6468275252635036,28.065383911132812,9.762911052264657,25.062347412109375,19.214148839314777,65.0
Cube,0.08,3,0.3333333333333333,62.55555566666667,0.8300000031789144,0.014142150234638435,0.0033333332588275275,0.004714045102543195,-31.271353721618652,7.739189941785146,16.28556950887044,5.760956468115516,22.51135190327962,13.751350084940592,65.0
