task,train_seed,split,stdmax,eval_noise_sigma,closed_loop_score,base_closed_loop_score,best_closed_loop_score,normalized_recovery,regime,atr_q90,atr_rel,smpr
TwoRoom,3073,heldout,0.03,0.08,94.333333,71.666667,97.333333,0.8831168800809579,robust,0.31787704876756295,0.20950330745849371,0.9672130346298218
TwoRoom,3073,heldout,0.04,0.08,95.333333,71.666667,97.333333,0.9220779200539719,robust,0.18739531436214732,0.12350667754500753,0.9999999403953552
TwoRoom,3073,heldout,0.05,0.08,94.333333,71.666667,97.333333,0.8831168800809579,robust,0.14856732013351304,0.09791630150365219,0.9999999403953552
TwoRoom,3073,heldout,0.06,0.08,97.333333,71.666667,97.333333,1.0,robust,0.14182382008298536,0.09347186120854575,0.9999999403953552
TwoRoom,3073,heldout,0.07,0.08,96.666667,71.666667,97.333333,0.9740259993253509,robust,0.12172704920747152,0.08022667731125109,0.9999999403953552
TwoRoom,3073,heldout,0.08,0.08,97.333333,71.666667,97.333333,1.0,robust,0.1321221251210847,0.08707776264008378,0.9836065173149109
TwoRoom,3074,heldout,0.0,0.08,69.0,69.0,98.0,0.0,fragile,1.4947153046014692,1.0,0.4098360538482666
TwoRoom,3074,heldout,0.01,0.08,90.666667,69.0,98.0,0.7471264482758622,transition,1.1131421031913513,0.7447184756619218,0.7704917788505554
TwoRoom,3074,heldout,0.02,0.08,97.666667,69.0,98.0,0.9885057586206898,robust,0.527574942818781,0.35296015314397716,0.8852458596229553
TwoRoom,3074,heldout,0.03,0.08,94.0,69.0,98.0,0.8620689655172413,robust,0.31023774003220617,0.2075564082853382,0.9344261884689331
TwoRoom,3074,heldout,0.04,0.08,95.666667,69.0,98.0,0.9195402413793105,robust,0.20471947941948562,0.13696218857815823,0.9999999403953552
TwoRoom,3074,heldout,0.05,0.08,98.0,69.0,98.0,1.0,robust,0.18338815425774974,0.122691025972097,0.9999999403953552
TwoRoom,3074,heldout,0.06,0.08,93.666667,69.0,98.0,0.8505747241379311,robust,0.10773770150558551,0.07207907831940695,0.9836065173149109
TwoRoom,3074,heldout,0.07,0.08,96.0,69.0,98.0,0.9310344827586207,robust,0.1168179124558464,0.07815395486767505,0.9836065173149109
TwoRoom,3074,heldout,0.08,0.08,96.333333,69.0,98.0,0.9425287241379309,robust,0.1080286071798046,0.07227370111702168,0.9836065173149109
PushT,3072,calibration,0.0,0.08,4.333333333333333,4.333333333333333,89.0,0.0,fragile,3.4252009231417477,1.0,0.4285714328289032
PushT,3072,calibration,0.01,0.08,51.666666666666664,4.333333333333333,89.0,0.5590551181102361,transition,2.0975276746126346,0.6123809147781871,0.9285714030265808
PushT,3072,calibration,0.02,0.08,73.66666666666667,4.333333333333333,89.0,0.8188976377952757,robust,1.078168166445085,0.31477515936675066,0.9693877100944519
PushT,3072,calibration,0.03,0.08,82.0,4.333333333333333,89.0,0.9173228346456693,robust,0.6133715048678218,0.17907606550135166,1.0
PushT,3072,calibration,0.04,0.08,86.66666666666667,4.333333333333333,89.0,0.9724409448818898,robust,0.50333236612653,0.14694973445962142,0.9897959232330322
PushT,3072,calibration,0.05,0.08,78.33333333333333,4.333333333333333,89.0,0.8740157480314961,robust,0.5036910676900177,0.14705445869961103,1.0
PushT,3072,calibration,0.06,0.08,87.66666666666667,4.333333333333333,89.0,0.984251968503937,robust,0.4832480827393781,0.1410860540981407,1.0
PushT,3072,calibration,0.07,0.08,84.0,4.333333333333333,89.0,0.9409448818897638,robust,0.33615049769286,0.09814037343669979,1.0
PushT,3072,calibration,0.08,0.08,89.0,4.333333333333333,89.0,1.0,robust,0.22418129709450388,0.06545055374120207,1.0
PushT,3073,heldout,0.0,0.08,2.0,2.0,86.666667,0.0,fragile,3.9464090489730728,1.0,0.23469386994838715
PushT,3073,heldout,0.01,0.08,21.666667,2.0,86.666667,0.23228346758943516,transition,3.3327761202221877,0.8445085339264151,0.714285671710968
PushT,3073,heldout,0.02,0.08,46.0,2.0,86.666667,0.5196850373240747,transition,2.5243999152143277,0.6396701112043168,0.9081632494926453
PushT,3073,heldout,0.03,0.08,80.666667,2.0,86.666667,0.9291338585467172,robust,0.7399988157138043,0.1875119397231175,0.9897959232330322
PushT,3073,heldout,0.04,0.08,86.666667,2.0,86.666667,1.0,robust,0.4237914113405229,0.10738659020934516,1.0
PushT,3073,heldout,0.05,0.08,85.333333,2.0,86.666667,0.9842519606919213,robust,0.40131830289896114,0.10169201872355109,1.0
